Abacus.AI is an AI-assisted data science platform offering end-to-end LLM and MLOps solutions for building and deploying AI models at scale. It supports various enterprise use cases such as personalization, language AI, forecasting and planning, marketing and sales AI, anomaly detection, AI agents, vision AI, discrete optimization, and predictive modeling. The platform provides features like data wrangling, model building, production monitoring, and real-time deep learning. No investments, funding, or patents are mentioned in the text.ABEJA is a company providing digital platform services, including the ABEJA Platform for transforming core business processes and ABEJA Insight for Retail, a store analysis service based on customer behavior data. The company's technology is supported by operations, labs, ABEJA X, and technology culture. They are currently recruiting and hosting the SIX2022 conference. No information about investments, funding, or patents is mentioned in the text.Error: unknown error: net::ERR_NAME_NOT_RESOLVEDError: unknown error: net::ERR_CONNECTION_CLOSEDAccuhealth is a provider of an award-winning Remote Patient Monitoring (RPM) solution that integrates with Electronic Health Records (EHR) and offers services such as 24/7 clinical monitoring, easy-to-use 4G devices, unlimited telemedicine, and more. The platform uses artificial intelligence through its proprietary AI-technology, Evelyn 3.0, for predictive analytics and trend analysis. Accuhealth serves patients, providers, and healthcare systems across all 50 states in the US. The text does not mention any investment, funding, or patents.Aco is an AI chatbot designed for e-commerce, using techniques such as assisted shopping, lead generation, cart recovery, email marketing, discount coupons, and a loyalty program to engage visitors and convert them into customers. It is easy to set up and optimizes performance on its own. Pricing is based on the number of subscribers, with a 15-day free trial available. The text does not mention any investment, funding, or patents.The text discusses the impact of AI, RPA, and IA on various industries and their role in defining the future. Acronotics is a company that helps clients design, develop, implement, and run robotic process automation and AI-based solutions. Embracing these technologies is crucial for staying competitive and offers benefits such as future-proofing businesses, improving productivity, and enhancing user experience. No specific investments, funding, or patents are mentioned in the text.Acurable develops wearable medical devices, such as AcuPebble SA100 and AcuPebble RE100, for home use in sleep apnea and research applications. The technology is based on research from Imperial College London and has received awards and recognitions, including an XPrize award, an IET Innovations Award, and two Innovate UK research grants. The technology is also patented.adasupport.com, Ada, an AI-powered automation platform for customer service, offers features such as a resolution engine, no-code automation builder, continuous improvement, integrations and handoffs, and support for digital messaging and voice channels. Built on Large Language Models, Ada can resolve complex customer inquiries quickly across multiple channels and languages. Various companies have used the platform, resulting in significant savings and improved customer service. However, there is no mention of any investment, funding, or patents in the text.Adarga,https://adarga.com,Error: unknown error: net::ERR_CONNECTION_CLOSED
Adext,https://adext.ai,Adext is an AI-powered audience management automation platform for Google and Facebook Ads, offering real-time ad spend optimization and maximizing revenue with proprietary machine learning algorithms. It has improved over 12,000 campaigns, provides up to 240 daily budget updates per ad, analyzes over 3 trillion data points, optimizes 500,000+ audiences, and manages over $150 million in ad spend. Adext has been recognized as a Top 50 AI Company and received the Best Big Data Project 2019 award. The text does not mention any investment, funding, or patents.
Adimap,https://adimap.com,Error: unknown error: net::ERR_NAME_NOT_RESOLVED
Adqura,https://adqura.com,Adqura is a company specializing in AI-driven real-time decision-making and 1:1 customer engagement, using Pega platform applications like Pega Customer Decision Hub and Pega Platform. They have worked on over 30 decisioning programs globally and have clients such as Vodafone UK, Alight, British Gas, and The AA. The text does not mention any investment, funding, or patents.
AEye,https://aeye.ai,AEye is a company that developed the 4Sight Intelligent Sensing Platform, a software-defined lidar solution for safer and more efficient navigation. The platform is used in various applications such as automotive, trucking, rail, and Intelligent Transportation Systems (ITS). AEye has formed strategic partnerships with global companies to expand its capabilities and meet the growing demand for its 4Sight lidar products. The text does not mention any investment, funding, or patents.
Affectiva,https://affectiva.com,Affectiva is a company that focuses on humanizing technology, offering solutions in media analytics and automotive biometric research. Their services include ad testing, entertainment content testing, and qualitative research. They are used by major advertisers and Global Fortune 500 companies. Affectiva has 41 issued patents and 30+ pending. The company was recently acquired by Smart Eye and has been recognized on CB Insights' Top 100 Innovative AI Startups.
Agolo,https://agolo.com,Agolo is an AI-powered summarization engine that provides quick and accurate human-quality summaries at a large scale. It can create millions of summaries per day in real time and can be applied to any content source. Agolo offers personalized search results and integrates seamlessly with existing enterprise search platforms. The text does not mention any investments, funding, or patents.
Aireverie,https://aireverie.com,Error: Sentence is too long in webpage: 4043 tokens.
AIBrain,https://aibrain.com,AIBrain is a Palo Alto-based tech start-up focused on augmenting human intelligence with AI. The company has been recognized as a top AI company and has developed products in entertainment, education, sports AI, and robotic AI, such as Tyche, Futurable, SAIVA, and Gretchen. They also offer AI online training programs for non-AI professionals. AIBrain was founded by Richard Shinn, Ph.D., who also founded CrossCert, a Korean public company funded by SoftBank in February 2000. No patents are mentioned in the text.
AiCure,https://aicure.com,AiCure is a company that focuses on enhancing drug development through its patient-centric eClinical Trials Management Platform. Their solutions include AiCure Patient Connect, AiCure Platform, and AiCure Site Services, which aim to improve medication adherence rates, analyze and predict treatment response using digital biomarkers, and reduce clinical tech burden. They also offer OpenDBM, an open-source platform for accessing digital biomarker algorithms and encouraging research collaboration. AiCure supports various types of trials, including traditional site-based, decentralized, virtual, and hybrid trials. The text does not mention any specific investments, funding, or patents.
Aidar Technologies,https://aidartechnologies.com,Error: unknown error: net::ERR_CONNECTION_CLOSED
Aidence,https://aidence.com,Aidence offers AI-powered clinical applications for the lung cancer pathway, focusing on deep learning solutions tailored for clinical specialists. Their products include Veye Lung Nodules, an automated lung nodule management assistant, and Veye Reporting, an interactive lung nodule reporting solution. These solutions aim to improve cancer care quality by automating and standardizing nodule measurement reporting. The text does not mention any investments, funding, or patents.
Aiderbotics,https://aiderbotics.com,LabLog offers an Electronic Lab Notebook platform designed to keep lab data, files, and notes organized, enabling teams to optimize laboratory processes from anywhere. The platform is intuitive, easy to use, and can be deployed in the cloud or on-premises. It integrates with tools like Microsoft Office and Teams and is compliant with Title 21 CFR Part 11 regulations. LabLog's features include data and sample tracking, barcode printers and scanners for inventory tracking, and customizable modules for lab work planning, workflow automation, and FDA Part 11 compliance. The company offers on-site onboarding and training and adheres to federal and international standards for cybersecurity. No information about investment, funding, or patents is mentioned in the text.
AI-Doc,https://ai-doc.com,Error: unknown error: net::ERR_SSL_PROTOCOL_ERROR
AiRo Digital Labs,https://airodigitallabs.com,AiRo Digital Labs is a company offering AI and RPA solutions across various industries such as Healthcare, Life Sciences, Banking & Insurance, Manufacturing, Hi-Tech, and Retail. They provide services in AI consulting, RPA, data management, cloud enablement, cyber security, and enterprise IT. Their platforms include OMNI, ViKi, and AiRo Hub, and they have partnerships with AI, RPA, data, cloud, and security companies. The text does not mention any investments, funding, or patents.
AiScout,https://aiscout.ai,Error: unknown error: net::ERR_NAME_NOT_RESOLVED
AiSense,https://aisense.com,Error: unknown error: net::ERR_CONNECTION_CLOSED
Aisera,https://aisera.com,The text primarily focuses on Aisera, an AI Service Experience Platform for enterprises that offers solutions for employee experience, customer experience, ops experience, and voice experience using large language models (LLM) and AI workflows. Aisera has received industry recognition and accolades as a leader in AI and integrates with various industries, including education, government, healthcare, and more. The text also mentions several case studies and resources available for further information. However, there is no mention of any investment, funding, or patents in the text.
AiSpeaking,https://aispeaking.com,Error: unknown error: net::ERR_CONNECTION_CLOSED
