"name","url"
" Leanplum "," leanplum.com"
" Lilt "," lilt.com"
" Logz.io "," logz.io"
" Loop AI Labs "," loop.ai"
" Magic Pony Technology "," NA Acquired by Twitter in 2016"
" MindMeld "," mindmeld.com"
" Moogsoft "," moogsoft.com"
" Mya Systems "," mya.com"
" Mythic "," mythicai.com"
" Nara Logics "," naralogics.com"
" Nauto "," nauto.com"
" Netradyne "," netradyne.com"
" Neurable "," neurable.com"
" Next IT "," nextit.com"
" Numenta "," numenta.com"
" Numerai "," numer.ai"
" Nutonomy "," nutonomy.com"
" Omilia "," omilia.com"
" OrCam "," orcam.com"
" Osmo "," playosmo.com"
" Oxagile "," oxagile.com"
" Oxbotica "," oxbotica.com"
" Ozlo Acquired by Facebook",
" PathAI "," pathai.com"
" Pecan "," pecan.ai"
" Peltarion "," peltarion.com"
" People.ai "," people.ai"
" PerimeterX "," perimeterx.com"
" Persado "," persado.com"
" Petuum "," petuum.com"
" Predii "," predii.com"
" Primer AI "," primer.ai"
" Rainbird "," rainbird.ai"
" RapidMiner "," rapidminer.com"
" Rasa "," rasa.com"
" Recursion Pharmaceuticals "," recursionpharma.com"
" Rekognition "," aws.amazon.comrekognition"
" Remesh "," remesh.ai"
" Replicant "," replicant.ai"
" RocketFuel "," rocketfuel.com"
" Rulai "," rulai.com"
" Scale AI "," scale.com"
" Sensely "," sensely.com"
" Seventh Sense "," theseventhsense.com"
" Shift Technology "," shifttechnology.com"
" Sift "," sift.com"
" Sight Machine "," sightmachine.com"
" SightCall "," sightcall.com"
" Skytree "," skytree.net"
" Snorkel AI "," snorkel.ai"
" Sorcerro "," sorcerro.com"
" SoundHound "," soundhound.com"
" SparkCognition "," sparkcognition.com"
" Stradigi AI "," stradigi.ai"
" Suki.AI "," suki.ai"
" Syntiant","syntiant.com"
" Talla","talla.com"
" Tessian","tessian.com"
" Textio","textio.com"
" ThoughtSpot","thoughtspot.com"
" Tractable","tractable.ai"
" True Fit","truefit.com"
" TruSTAR","trustar.co"
" Turing","turing.com"
" UiPath","uipath.com"
" Unbabel","unbabel.com"
" Uniphore","uniphore.com"
" Uptake","uptake.com"
" Vicarious","vicarious.com"
" Vidado","vidado.ai"
" Viv Labs","viv.ai"
" Voyage","voyage.auto"
" Vymo","getvymo.com"
" x.ai","x.ai"
" Yseop","yseop.com"
" Zebrium ","zebrium.com"
" Zenatix ","zenatix.com"
" Zenify ","zenify.ai"
" Zensed ","zensed.com"
" Zensors ","zensors.com"
" ZeroFOX ","zerofox.com"
" Zest ","zest.ai"
" Zest AI",
" Zesty ","zesty.ai"
" Zimperium ","zimperium.com"
" ZineOne ","zineone.com"
" ZingBox ","zingbox.com"
" Zoho ","zoho.com"
" Zola Electric ","zolaelectric.com"
" Zola Stays ","zolostays.com"
" Zopa ","zopa.com"
" Zorroa ","zorroa.com"
" ZorroSign ","zorrosign.com"
" Zulama ","zulama.com"
" Zumi ","zumi.im"
"Abacus.AI","abacus.ai"
"ABEJA","abejainc.com"
"Abreast AI","abreast.ai"
